year,engine size,automatic transmission,mileage,fuel type,tax,mpg,price
2013,1.6,no,54000.0,petrol,165.0,44.8,5900.0
2015,1.0,no,29352.0,petrol,20.0,62.8,5900.0
2015,1.0,no,9122.0,petrol,20.0,62.8,5910.0
2016,1.2,no,28508.0,petrol,125.0,53.3,5925.0
2014,1.2,no,43911.0,petrol,30.0,57.6,5950.0
2015,1.0,no,21603.0,petrol,20.0,61.4,5969.0
2009,2.0,no,80000.0,diesel,200.0,46.3,5975.0
2013,1.2,no,31926.0,petrol,30.0,54.3,5981.0
2016,1.4,no,48080.0,petrol,30.0,55.4,5981.0
2017,1.0,no,30665.0,petrol,145.0,62.8,5981.0
2017,1.0,no,24617.0,petrol,20.0,64.2,5988.0
2013,1.0,no,60143.0,petrol,0.0,65.7,5989.0
2014,1.3,no,43681.0,petrol,125.0,52.3,5990.0
2016,1.4,no,46677.0,petrol,125.0,52.3,5990.0
2016,1.2,no,30000.0,petrol,125.0,54.3,5990.0
2016,1.0,no,25188.0,petrol,20.0,62.8,5990.0
2017,1.0,no,44155.0,petrol,20.0,64.2,5990.0
2017,1.5,no,73000.0,diesel,145.0,78.5,5990.0
2016,1.4,no,56135.0,petrol,30.0,55.4,5991.0
2016,1.0,no,11862.0,petrol,20.0,62.8,5991.0
2015,1.6,no,77237.0,diesel,0.0,76.3,5991.0
2017,1.0,no,26921.0,petrol,145.0,60.1,5992.0
2017,1.5,no,119902.0,diesel,265.0,78.5,5994.0
1996,2.8,yes,36000.0,petrol,270.0,26.4,5995.0
2009,2.0,yes,112000.0,petrol,265.0,37.2,5995.0
2010,3.0,yes,121000.0,diesel,300.0,39.8,5995.0
2013,1.4,yes,46108.0,petrol,160.0,44.8,5995.0
2011,2.0,yes,90000.0,diesel,200.0,48.7,5995.0
2009,2.0,yes,87000.0,diesel,160.0,50.4,5995.0
2013,1.2,no,36524.0,petrol,125.0,54.3,5995.0
2015,1.4,no,48054.0,petrol,125.0,54.3,5995.0
2015,1.2,no,78000.0,petrol,125.0,54.3,5995.0
2009,2.0,no,112000.0,diesel,145.0,55.4,5995.0
2012,2.0,no,77000.0,diesel,125.0,57.7,5995.0
2014,1.0,no,65000.0,petrol,20.0,58.9,5995.0
2015,1.0,no,50263.0,petrol,20.0,60.1,5995.0
2014,1.4,no,60067.0,diesel,0.0,72.4,5995.0
2013,1.3,no,42741.0,petrol,125.0,51.4,5998.0
2013,1.2,no,57807.0,petrol,125.0,51.4,5999.0
2017,1.0,no,28000.0,petrol,150.0,64.2,5999.0
2015,1.6,no,82632.0,diesel,0.0,74.3,5999.0
2014,1.4,no,38702.0,petrol,125.0,51.4,6000.0
2013,1.0,no,50081.0,petrol,20.0,58.9,6000.0
